'167', 'Radeon HD 6970M Crossfire', '用于笔记本电脑', '8.97', 'Terascale 2', '2011', '170 USD', '−'
'168', 'Radeon Pro 560', '用于移动工作站', '8.93', 'Polaris', '2017', '127 USD', '35 W'
'169', 'Radeon RX 480 （移动）', '用于笔记本电脑', '8.91', 'Polaris', '2016', '577 USD', '100 W'
'170', 'Radeon Pro 460', '用于移动工作站', '8.87', 'Polaris', '2016', '100 USD', '35 W'
'171', 'Radeon R9 M470X', '用于笔记本电脑', '8.74', 'GCN 2', '2016', '−', '−'
'172', 'Radeon 740M', '用于笔记本电脑', '8.68', 'RDNA 3', '2023', '−', '30 W'
'173', 'Radeon R9 M390X', '用于笔记本电脑', '8.60', 'GCN 3', '2015', '−', '125 W'
'174', 'Radeon RX Vega 8 (Ryzen 4000/5000)', '用于笔记本电脑', '8.60', 'Vega', '2020', '−', '15 W'
'175', 'Radeon Pro 555X', '用于移动工作站', '8.31', 'Polaris', '2017', '894 USD', '−'
'176', 'Radeon R9 M290X', '用于笔记本电脑', '8.31', 'GCN', '2014', '613 USD', '100 W'
'177', 'Radeon RX 560X', '桌面', '8.21', 'GCN 4.0', '2018', '999 USD', '75 W'
'178', 'Bonaire', '桌面', '8.14', 'GCN 2.0', '−', '41 USD', '−'
'179', 'Radeon R7 260X', '桌面', '8.13', 'GCN 2.0', '2013', '204 USD', '115 W'
'180', 'FirePro W7170M', '用于移动工作站', '8.12', 'GCN 3', '2015', '600 USD', '100 W'
'181', 'Baffin', '桌面', '8.07', 'GCN 4.0', '−', '127 USD', '−'
'182', 'Radeon Pro 555', '用于移动工作站', '8.07', 'Polaris', '2017', '894 USD', '−'
'183', 'Radeon Pro 455', '用于移动工作站', '8.00', 'Polaris', '2016', '696 USD', '−'
'184', 'Radeon HD 7790', '桌面', '7.94', 'GCN 2.0', '2013', '219 USD', '85 W'
'185', 'Radeon R7 360', '桌面', '7.88', 'GCN 2.0', '2015', '14 USD', '80 W'
'186', 'FirePro W5100', '用于工作站', '7.75', 'GCN 2.0', '2014', '220 USD', '50 W'
'187', 'Radeon HD 6990', '桌面', '7.74', 'TeraScale 3', '2011', '144 USD', '375 W'
'188', 'Cypress', '桌面', '7.66', 'TeraScale 2', '−', '12 USD', '−'
'189', 'Tahiti', '桌面', '7.63', 'GCN 1.0', '−', '20 USD', '−'
'190', 'FirePro W5000', '用于工作站', '7.62', 'GCN 1.0', '2012', '141 USD', '75 W'
'191', 'FirePro W4300', '用于工作站', '7.44', 'GCN 2.0', '2015', '129 USD', '50 W'
'192', 'Radeon R7 260', '桌面', '7.43', 'GCN 2.0', '2013', '205 USD', '95 W'
'193', 'Radeon Pro V340 MxGPU', '用于工作站', '7.33', 'GCN 5.0', '2018', '−', '300 W'
'194', 'Radeon HD 6970', '桌面', '7.28', 'Terascale 2', '2010', '189 USD', '250 W'
'195', 'Radeon RX 540', '用于笔记本电脑', '7.17', 'Polaris', '2017', '166 USD', '75 W'
'196', 'Radeon RX Vega 7', '用于笔记本电脑', '7.16', 'Vega', '2020', '387 USD', '15 W'
'197', 'Radeon R9 M380', '用于笔记本电脑', '7.12', 'GCN', '2015', '−', '−'
'198', 'Radeon HD 6930', '桌面', '7.12', 'TeraScale 3', '2011', '12 USD', '186 W'
'199', 'FirePro S7150', '用于工作站', '7.01', 'GCN 3.0', '2016', '7738 USD', '150 W'
'200', 'Radeon Pro 450', '用于移动工作站', '7.00', 'Polaris', '2016', '183 USD', '75 W'
'201', 'Radeon RX 550', '桌面', '6.93', 'GCN 4.0', '2017', '121 USD', '50 W'
