排名, 显示卡, 类型, 性能, 架构, 出厂年份, 现在的价格, TDP
'331', 'Radeon R9 M395X', '用于笔记本电脑', '12.95', 'GCN 3', '2014', '−', '125 W'
'332', 'Radeon R9 M395', '用于笔记本电脑', '12.91', 'GCN', '2015', '1288 USD', '−'
'333', 'GeForce GTX 1630', '桌面', '12.83', 'Turing', '2022', '213 USD', '75 W'
'334', 'Radeon R9 270X', '桌面', '12.62', 'GCN', '2013', '136 USD', '180 W'
'335', 'FirePro S9050', '用于工作站', '12.60', 'GCN 1.0', '2014', '782 USD', '225 W'
'336', 'GeForce GTX 1050 3GB Mobile', '用于笔记本电脑', '12.55', '2018', '−', '−', '_'
'337', 'GeForce GTX 760', '桌面', '12.28', 'Kepler', '2013', '136 USD', '170 W'
'338', 'FirePro S10000', '用于工作站', '12.25', 'GCN 1.0', '2012', '22 USD', '375 W'
'339', 'Radeon HD 7950', '桌面', '12.24', 'GCN 1.0', '2012', '431 USD', '200 W'
'340', 'Radeon Sky 500', '桌面', '12.24', 'GCN 1.0', '2013', '129 USD', '150 W'
'341', 'Radeon R9 370', '桌面', '12.14', 'GCN 1.0', '2015', '325 USD', '110 W'
'342', 'Radeon Pro Vega 16', '用于移动工作站', '12.03', 'Vega', '2018', '511 USD', '75 W'
'343', 'Iris Xe MAX Graphics', '用于笔记本电脑', '11.96', 'Gen. 12 Xe', '2020', '−', '25 W'
'344', 'Radeon Pro WX Vega M GL', '用于移动工作站', '11.93', 'Vega', '2018', '1359 USD', '65 W'
'345', 'Radeon HD 7870', '桌面', '11.92', 'GCN', '2012', '200 USD', '200 W'
'346', 'GeForce GTX 860M SLI', '用于笔记本电脑', '11.86', 'Maxwell', '2014', '489 USD', '120 W'
'347', 'GeForce MX550', '用于笔记本电脑', '11.68', 'Turing', '2021', '−', '15 W'
'348', 'GeForce GTX 580', '桌面', '11.66', 'Fermi', '2010', '15 USD', '244 W'
'349', 'FirePro S7000', '用于工作站', '11.63', 'GCN 1.0', '2012', '300 USD', '150 W'
'350', 'Radeon R7 370', '桌面', '11.61', 'GCN 1.0', '2015', '378 USD', '100 W'
'351', 'Radeon RX 560X （移动）', '用于笔记本电脑', '11.59', 'Polaris', '2017', '520 USD', '60 W'
'352', 'Tesla K40c', '用于工作站', '11.55', 'Kepler', '2013', '360 USD', '245 W'
'353', 'Radeon HD 7870 XT', '桌面', '11.49', 'GCN 1.0', '2012', '133 USD', '185 W'
'354', 'GeForce GTX 1050 （移动）', '用于笔记本电脑', '11.47', 'Pascal', '2017', '256 USD', '75 W'
'355', 'Quadro P1000', '用于工作站', '11.36', 'Pascal', '2017', '301 USD', '40 W'
'356', 'GeForce GTX 660 Ti', '桌面', '11.24', 'Kepler', '2012', '189 USD', '150 W'
'357', 'Radeon RX 560 （移动）', '用于笔记本电脑', '11.15', 'Polaris', '2017', '468 USD', '75 W'
'358', 'Tesla K20m', '用于工作站', '11.13', 'Kepler', '2013', '5781 USD', '225 W'
'359', 'Quadro K4200', '用于工作站', '11.09', 'Kepler', '2014', '311 USD', '108 W'
'360', 'Radeon RX 5300M', '用于笔记本电脑', '11.07', 'Navi / RDNA', '2019', '525 USD', '65 W'
'361', 'Radeon R9 270', '桌面', '11.07', 'GCN 1.0', '2013', '229 USD', '150 W'
'362', 'Quadro M2200', '用于移动工作站', '11.04', 'Maxwell', '2017', '1967 USD', '55 W'
'363', 'FirePro W7000', '用于工作站', '10.95', 'GCN 1.0', '2012', '195 USD', '150 W'
'364', 'GRID M60-1Q', '用于工作站', '10.92', 'Maxwell 2.0', '2015', '−', '225 W'
'365', 'GeForce GTX 680MX', '用于笔记本电脑', '10.65', 'Kepler', '2012', '200 USD', '122 W'
'366', 'Iris Xe Graphics G7', '用于笔记本电脑', '10.61', 'Gen. 11 Ice Lake', '2020', '−', '−'
'367', 'Radeon RX 460', '桌面', '10.57', 'Polaris', '2016', '397 USD', '75 W'
'368', 'FirePro W8000', '用于工作站', '10.53', 'GCN 1.0', '2012', '215 USD', '225 W'
'369', 'GeForce GTX 480', '桌面', '10.38', 'Fermi', '2010', '16 USD', '295 W'
'370', 'GeForce GTX 765M SLI', '用于笔记本电脑', '10.32', 'Kepler', '2013', '149 USD', '130 W'
'371', 'Radeon R7 265', '桌面', '10.28', 'GCN 1.0', '2014', '242 USD', '150 W'
'372', 'GeForce GTX 660', '桌面', '10.28', 'Kepler', '2012', '172 USD', '140 W'
'373', 'P104-100', '桌面', '10.27', 'Pascal', '2017', '17 USD', '−'
'374', 'GeForce GTX 780 Rev. 2', '桌面', '10.23', 'Kepler', '2013', '270 USD', '250 W'
'375', 'T550 Mobile', '用于笔记本电脑', '10.22', 'Turing', '2022', '−', '25 W'
'376', 'Quadro K5000', '用于工作站', '10.21', 'Kepler', '2012', '289 USD', '122 W'
'377', 'FirePro D500', '用于工作站', '10.19', 'GCN 1.0', '2014', '475 USD', '274 W'
'378', 'Quadro M2000', '用于工作站', '10.18', 'Maxwell 2.0', '2016', '285 USD', '75 W'
'379', 'GeForce GTX 1050 Max-Q', '用于笔记本电脑', '10.12', 'Pascal', '2018', '1085 USD', '34 W'
'380', 'GeForce GTX 570', '桌面', '10.07', 'Fermi', '2010', '13 USD', '219 W'
'381', 'GeForce GTX 780M', '用于笔记本电脑', '10.03', 'Kepler', '2013', '1093 USD', '100 W'
'382', 'GeForce GTX 750 Ti', '桌面', '10.03', 'Maxwell', '2014', '357 USD', '75 W'
'383', 'GRID M60-8Q', '用于工作站', '9.98', 'Maxwell 2.0', '2015', '−', '225 W'
'384', 'Radeon HD 8970M', '用于笔记本电脑', '9.96', 'GCN', '2013', '135 USD', '100 W'
'385', 'GeForce GTX 580M SLI', '用于笔记本电脑', '9.94', 'Fermi', '2011', '249 USD', '100 W'
'386', 'Radeon HD 7850', '桌面', '9.91', 'GCN 1.0', '2012', '267 USD', '130 W'
'387', 'Radeon HD 6990M Crossfire', '用于笔记本电脑', '9.89', 'Terascale 2', '2011', '170 USD', '−'
'388', 'Radeon HD 7970M', '用于笔记本电脑', '9.89', 'GCN', '2012', '338 USD', '100 W'
'389', 'Tiger Lake-U Xe Graphics G7', '用于笔记本电脑', '9.88', 'Gen. 11 Ice Lake', '2020', '−', '−'
'390', 'Radeon 660M', '用于笔记本电脑', '9.74', 'RDNA 2', '2022', '−', '45 W'
'391', 'GeForce GTX 880M', '用于笔记本电脑', '9.74', 'Kepler', '2014', '1544 USD', '103 W'
'392', 'Radeon RX 460 （移动）', '用于笔记本电脑', '9.70', 'Polaris', '2016', '95 USD', '75 W'
'393', 'Radeon Pro WX 4100', '用于工作站', '9.67', 'GCN 4.0', '2016', '711 USD', '50 W'
'394', 'Radeon R9 M390', '用于笔记本电脑', '9.64', 'GCN', '2015', '−', '−'
'395', 'GeForce GTX 670MX SLI', '用于笔记本电脑', '9.64', 'Kepler', '2012', '−', '150 W'
'396', 'FirePro D300', '用于工作站', '9.64', 'GCN 1.0', '2014', '260 USD', '150 W'
'397', 'GeForce MX450', '用于笔记本电脑', '9.59', 'Turing', '2020', '−', '25 W'
'398', 'GeForce GTX 965M', '用于笔记本电脑', '9.59', 'Maxwell', '2015', '1546 USD', '50 W'
'399', 'T400 4 GB', '桌面', '9.49', 'Turing', '2021', '216 USD', '30 W'
'400', 'Radeon Pro 560X', '用于移动工作站', '9.45', 'Polaris', '2017', '133 USD', '35 W'
'401', 'Radeon R9 M485X', '用于笔记本电脑', '9.41', 'GCN 3', '2016', '2500 USD', '125 W'
'402', 'Tesla M2090', '用于工作站', '9.40', 'Fermi 2.0', '2011', '1844 USD', '250 W'
'403', 'Tesla K8', '用于工作站', '9.37', 'Kepler', '2014', '249 USD', '100 W'
'404', 'Radeon RX 560', '桌面', '9.36', 'GCN 4.0', '2017', '381 USD', '75 W'
'405', 'Radeon RX Vega M GL', '用于笔记本电脑', '9.33', 'GCN 4.0', '2018', '1307 USD', '65 W'
'406', 'T400', '桌面', '9.30', 'Turing', '2021', '83 USD', '30 W'
'407', 'Iris Xe Graphics G7 96EUs', '用于笔记本电脑', '9.27', 'Gen. 11 Ice Lake', '2020', '−', '28 W'
'408', 'Quadro P620', '用于工作站', '9.22', 'Pascal', '2019', '170 USD', '25 W'
'409', 'GeForce GTX 485M SLI', '用于笔记本电脑', '9.19', 'Fermi', '2011', '149 USD', '100 W'
'410', 'GRID M6-8Q', '用于工作站', '9.17', 'Maxwell 2.0', '2015', '−', '100 W'
'411', 'GeForce GTX 775M', '用于笔记本电脑', '9.13', 'Kepler', '2013', '780 USD', '100 W'
'412', 'Quadro K2200', '用于工作站', '9.11', 'Maxwell', '2014', '313 USD', '68 W'
'413', 'GRID K520', '用于工作站', '9.04', 'Kepler', '2013', '80 USD', '225 W'
'414', 'Quadro 7000', '用于工作站', '9.01', 'Fermi 2.0', '2012', '965 USD', '204 W'
'415', 'Radeon HD 6970M Crossfire', '用于笔记本电脑', '8.97', 'Terascale 2', '2011', '170 USD', '−'
'416', 'Tesla M10', '用于工作站', '8.97', 'Maxwell', '2016', '1999 USD', '225 W'
'417', 'Radeon Pro 560', '用于移动工作站', '8.93', 'Polaris', '2017', '127 USD', '35 W'
'418', 'Radeon RX 480 （移动）', '用于笔记本电脑', '8.91', 'Polaris', '2016', '577 USD', '100 W'
'419', 'Quadro M2000M', '用于移动工作站', '8.90', 'Maxwell', '2015', '363 USD', '55 W'
'420', 'Radeon Pro 460', '用于移动工作站', '8.87', 'Polaris', '2016', '100 USD', '35 W'
'421', 'GeForce GTX 870M', '用于笔记本电脑', '8.86', 'Kepler', '2014', '403 USD', '100 W'
'422', 'Tesla K20c', '用于工作站', '8.86', 'Kepler', '2012', '591 USD', '225 W'
'423', 'Quadro K2200M', '用于工作站', '8.84', 'Maxwell', '2014', '228 USD', '65 W'
'424', 'Radeon R9 M470X', '用于笔记本电脑', '8.74', 'GCN 2', '2016', '−', '−'
'425', 'GeForce GTX 960M', '用于笔记本电脑', '8.73', 'Maxwell', '2015', '799 USD', '75 W'
'426', 'Quadro T500 Mobile', '用于移动工作站', '8.70', 'Turing', '2019', '−', '25 W'
'427', 'GeForce GTX 675M SLI', '用于笔记本电脑', '8.68', 'Fermi', '2011', '499 USD', '2 W'
'428', 'Radeon 740M', '用于笔记本电脑', '8.68', 'RDNA 3', '2023', '−', '30 W'
'429', 'Tesla C2075', '用于工作站', '8.65', 'Fermi 2.0', '2011', '2237 USD', '247 W'
'430', 'GeForce GTX 750', '桌面', '8.62', 'Maxwell', '2014', '340 USD', '55 W'
'431', 'GeForce GTX 650 Ti Boost', '桌面', '8.61', 'Kepler', '2013', '285 USD', '134 W'
'432', 'Radeon R9 M390X', '用于笔记本电脑', '8.60', 'GCN 3', '2015', '−', '125 W'
'433', 'Radeon RX Vega 8 (Ryzen 4000/5000)', '用于笔记本电脑', '8.60', 'Vega', '2020', '−', '15 W'
'434', 'GeForce GTX 590', '桌面', '8.59', 'Fermi', '2011', '600 USD', '365 W'
'435', 'Tesla C2050', '用于工作站', '8.54', 'Fermi', '2011', '70 USD', '238 W'
'436', 'Tesla K40m', '用于工作站', '8.43', 'Kepler', '2013', '744 USD', '245 W'
'437', 'Quadro M1200', '用于移动工作站', '8.41', 'Maxwell', '2017', '1372 USD', '45 W'
'438', 'Quadro P600', '用于工作站', '8.37', 'Pascal', '2017', '207 USD', '25 W'
'439', 'GeForce GT 755M SLI', '用于笔记本电脑', '8.36', 'Kepler', '2013', '545 USD', '2 W'
'440', 'Radeon Pro 555X', '用于移动工作站', '8.31', 'Polaris', '2017', '894 USD', '−'
'441', 'Radeon R9 M290X', '用于笔记本电脑', '8.31', 'GCN', '2014', '613 USD', '100 W'
'442', 'GeForce GTX 680M', '用于笔记本电脑', '8.24', 'Kepler', '2012', '293 USD', '100 W'
'443', 'Radeon RX 560X', '桌面', '8.21', 'GCN 4.0', '2018', '999 USD', '75 W'
'444', 'Bonaire', '桌面', '8.14', 'GCN 2.0', '−', '41 USD', '−'
'445', 'Radeon R7 260X', '桌面', '8.13', 'GCN 2.0', '2013', '204 USD', '115 W'
'446', 'FirePro W7170M', '用于移动工作站', '8.12', 'GCN 3', '2015', '600 USD', '100 W'
'447', 'GeForce GTX 560 Ti 448', '桌面', '8.09', 'Fermi 2.0', '2011', '624 USD', '210 W'
'448', 'Baffin', '桌面', '8.07', 'GCN 4.0', '−', '127 USD', '−'
'449', 'Radeon Pro 555', '用于移动工作站', '8.07', 'Polaris', '2017', '894 USD', '−'
'450', 'Quadro K5100M', '用于移动工作站', '8.02', 'Kepler', '2013', '440 USD', '100 W'
'451', 'UHD Graphics 64EUs (Alder Lake 12th Gen)', '用于笔记本电脑', '8.01', 'Gen. 12', '2022', '−', '−'
'452', 'Radeon Pro 455', '用于移动工作站', '8.00', 'Polaris', '2016', '696 USD', '−'
'453', 'Radeon HD 7790', '桌面', '7.94', 'GCN 2.0', '2013', '219 USD', '85 W'
'454', 'GeForce GTX 470', '桌面', '7.92', 'Fermi', '2010', '10 USD', '225 W'
'455', 'Radeon R7 360', '桌面', '7.88', 'GCN 2.0', '2015', '14 USD', '80 W'
'456', 'GeForce GTX 560 Ti', '桌面', '7.80', 'Fermi', '2011', '130 USD', '160 W'
'457', 'GeForce GTX 860M', '用于笔记本电脑', '7.80', 'Maxwell', '2014', '875 USD', '75 W'
'458', 'FirePro W5100', '用于工作站', '7.75', 'GCN 2.0', '2014', '220 USD', '50 W'
'459', 'Radeon HD 6990', '桌面', '7.74', 'TeraScale 3', '2011', '144 USD', '375 W'
'460', 'Cypress', '桌面', '7.66', 'TeraScale 2', '−', '12 USD', '−'
'461', 'Tahiti', '桌面', '7.63', 'GCN 1.0', '−', '20 USD', '−'
'462', 'FirePro W5000', '用于工作站', '7.62', 'GCN 1.0', '2012', '141 USD', '75 W'
'463', 'GRID M3-3020', '用于工作站', '7.60', 'Maxwell', '2016', '−', '−'
'464', 'GRID K260Q', '用于工作站', '7.58', 'Kepler', '2013', '−', '225 W'
'465', 'Tesla K20Xm', '用于工作站', '7.50', 'Kepler', '2012', '−', '235 W'
'466', 'Quadro M1000M', '用于移动工作站', '7.45', 'Maxwell', '2015', '706 USD', '40 W'
'467', 'FirePro W4300', '用于工作站', '7.44', 'GCN 2.0', '2015', '129 USD', '50 W'
'468', 'Radeon R7 260', '桌面', '7.43', 'GCN 2.0', '2013', '205 USD', '95 W'
'469', 'Quadro K1200', '用于工作站', '7.43', 'Maxwell', '2015', '124 USD', '45 W'
'470', 'Iris Xe Graphics G7 80EUs', '用于笔记本电脑', '7.38', 'Gen. 11 Ice Lake', '2020', '−', '28 W'
'471', 'Radeon Pro V340 MxGPU', '用于工作站', '7.33', 'GCN 5.0', '2018', '−', '300 W'
'472', 'GRID K280Q', '用于工作站', '7.30', 'Kepler', '2013', '−', '225 W'
'473', 'Tesla C2070', '用于工作站', '7.30', 'Fermi', '2011', '5193 USD', '238 W'
'474', 'Radeon HD 6970', '桌面', '7.28', 'Terascale 2', '2010', '189 USD', '250 W'
'475', 'Quadro M620', '用于移动工作站', '7.27', 'Maxwell', '2017', '1958 USD', '30 W'
'476', 'GeForce MX350', '用于笔记本电脑', '7.25', 'Pascal', '2020', '−', '25 W'
'477', 'GeForce GTX 770M', '用于笔记本电脑', '7.17', 'Kepler', '2013', '178 USD', '50 W'
'478', 'Radeon RX 540', '用于笔记本电脑', '7.17', 'Polaris', '2017', '166 USD', '75 W'
'479', 'Radeon RX Vega 7', '用于笔记本电脑', '7.16', 'Vega', '2020', '387 USD', '15 W'
'480', 'Radeon R9 M380', '用于笔记本电脑', '7.12', 'GCN', '2015', '−', '−'
'481', 'Radeon HD 6930', '桌面', '7.12', 'TeraScale 3', '2011', '12 USD', '186 W'
'482', 'Quadro K5000M', '用于移动工作站', '7.10', 'Kepler', '2012', '382 USD', '100 W'
'483', 'GeForce GTX 675MX', '用于笔记本电脑', '7.05', 'Kepler', '2012', '868 USD', '100 W'
'484', 'GRID K2', '用于工作站', '7.03', 'Kepler', '2013', '10 USD', '225 W'
'485', 'FirePro S7150', '用于工作站', '7.01', 'GCN 3.0', '2016', '7738 USD', '150 W'
'486', 'Radeon Pro 450', '用于移动工作站', '7.00', 'Polaris', '2016', '183 USD', '75 W'
'487', 'GeForce GTX 560', '桌面', '6.98', 'Fermi 2.0', '2011', '76 USD', '150 W'
'488', 'Quadro K4000', '用于工作站', '6.96', 'Kepler', '2013', '330 USD', '80 W'
'489', 'GeForce GTX 570 Rev. 2', '桌面', '6.96', 'Fermi 2.0', '2010', '249 USD', '219 W'
'490', 'Quadro 6000', '用于工作站', '6.94', 'Fermi', '2010', '1730 USD', '204 W'
'491', 'Radeon RX 550', '桌面', '6.93', 'GCN 4.0', '2017', '121 USD', '50 W'
'492', 'GeForce GTX 465', '桌面', '6.90', 'Fermi', '2010', '16 USD', '200 W'
'493', 'GeForce GT 750M SLI', '用于笔记本电脑', '6.84', 'Kepler', '2013', '545 USD', '−'
'494', 'FirePro R5000', '用于工作站', '6.80', 'GCN 1.0', '2013', '500 USD', '150 W'
'495', 'Quadro K4100M', '用于移动工作站', '6.79', 'Kepler', '2013', '323 USD', '100 W'
'496', 'Radeon HD 6950', '桌面', '6.76', 'TeraScale 3', '2010', '320 USD', '200 W'
'497', 'Radeon RX 550 （移动）', '用于笔记本电脑', '6.74', 'Polaris', '2017', '294 USD', '50 W'
'498', 'GRID M10-8Q', '用于工作站', '6.70', 'Maxwell', '2016', '−', '225 W'
'499', 'GeForce GTX 950M', '用于笔记本电脑', '6.66', 'Maxwell', '2015', '797 USD', '75 W'
'500', 'GeForce GTX 470M SLI', '用于笔记本电脑', '6.64', 'Fermi', '2010', '149 USD', '−'
'501', 'GeForce GTX 780M Mac Edition', '桌面', '6.64', 'Kepler', '2013', '149 USD', '122 W'
'502', 'GeForce GTX 950A', '桌面', '6.60', 'Maxwell', '2015', '1099 USD', '75 W'
'503', 'GRID K240Q', '用于工作站', '6.53', 'Kepler', '2013', '−', '225 W'
'504', 'Radeon HD 6850 X2', '桌面', '6.51', 'TeraScale 2', '2011', '−', '254 W'
'505', 'GeForce GTX 650 Ti', '桌面', '6.51', 'Kepler', '2012', '251 USD', '110 W'
'506', 'FireStream 9370', '桌面', '6.50', 'TeraScale 2', '2010', '−', '225 W'
'507', 'GeForce GTX 850M', '用于笔记本电脑', '6.49', 'Maxwell', '2014', '163 USD', '45 W'
'508', 'Radeon PRO WX 3100', '用于移动工作站', '6.41', 'Polaris', '2017', '242 USD', '65 W'
'509', 'GeForce GTX 480M SLI', '用于笔记本电脑', '6.41', 'Fermi', '2010', '149 USD', '100 W'
'510', 'GeForce GTX 560M SLI', '用于笔记本电脑', '6.40', 'Fermi', '2011', '149 USD', '100 W'
'511', 'GeForce GT 1030', '桌面', '6.39', 'Pascal', '2017', '137 USD', '30 W'
'512', 'GeForce MX330', '用于笔记本电脑', '6.35', 'Pascal', '2020', '1079 USD', '25 W'
'513', 'GeForce MX250', '用于笔记本电脑', '6.28', 'Pascal', '2019', '1165 USD', '10 W'
'514', 'Radeon Pro WX 4150', '用于移动工作站', '6.27', 'Polaris', '2017', '2000 USD', '50 W'
'515', 'GeForce GTX 960A', '桌面', '6.19', 'Maxwell', '2015', '243 USD', '75 W'
'516', 'Radeon Pro WX 3200', '用于工作站', '6.19', 'Polaris', '2019', '740 USD', '65 W'
'517', 'Radeon RX 550X （移动）', '用于笔记本电脑', '6.13', 'Polaris', '2019', '299 USD', '50 W'
'518', 'UHD Graphics 770', '桌面', '6.10', 'Alder Lake', '2022', '878 USD', '15 W'
'519', 'GeForce GTX 485M', '用于笔记本电脑', '6.06', 'Fermi', '2010', '163 USD', '100 W'
'520', 'FirePro W6150M', '用于工作站', '6.06', 'GCN 2.0', '2015', '299 USD', '−'
'521', 'P106-090', '桌面', '6.02', 'Pascal', '2017', '26 USD', '75 W'
'522', 'Radeon R9 M470', '用于笔记本电脑', '5.99', 'GCN 2', '2016', '−', '−'
'523', 'Radeon RX Vega 6 (Ryzen 4000/5000)', '用于笔记本电脑', '5.96', 'Vega', '2020', '−', '15 W'
'524', 'Radeon HD 5970', '桌面', '5.93', 'TeraScale 2', '2009', '69 USD', '294 W'
'525', 'FirePro V7900', '用于工作站', '5.92', 'TeraScale 3', '2011', '165 USD', '150 W'
'526', 'GeForce MX150', '用于笔记本电脑', '5.86', 'Pascal', '2017', '1049 USD', '25 W'
'527', 'Radeon HD 6970M', '用于笔记本电脑', '5.83', 'Terascale 2', '2011', '257 USD', '75 W'
'528', 'Quadro K3100M', '用于移动工作站', '5.83', 'Kepler', '2013', '683 USD', '75 W'
'529', 'Radeon R7 250X', '桌面', '5.83', 'GCN 1.0', '2014', '207 USD', '80 W'
'530', 'UHD Graphics 730 (Rocket Lake)', '用于笔记本电脑', '5.80', '2021', '−', '15 W', '_'
'531', 'GeForce GTX 460', '桌面', '5.79', 'Fermi', '2010', '128 USD', '160 W'
'532', 'Radeon RX 550X', '桌面', '5.76', 'GCN 4.0', '2018', '259 USD', '50 W'
'533', 'Quadro K620', '用于工作站', '5.76', 'Maxwell', '2014', '286 USD', '45 W'
'534', 'Radeon HD 6870', '桌面', '5.70', 'Terascale 2', '2010', '332 USD', '151 W'
'535', 'Radeon HD 5870', '桌面', '5.70', 'TeraScale 2', '2009', '125 USD', '188 W'
'536', 'FirePro M6100', '用于移动工作站', '5.64', 'GCN', '2013', '120 USD', '−'
'537', 'FirePro W5170M', '用于移动工作站', '5.63', 'GCN', '2015', '1530 USD', '−'
'538', 'Radeon HD 7770', '桌面', '5.58', 'GCN', '2012', '300 USD', '80 W'
'539', 'Iris Plus Graphics G7 (Ice Lake 64 EU)', '用于笔记本电脑', '5.55', 'Gen. 11 Ice Lake', '2019', '−', '12 W'
'540', 'Radeon RX Vega 9', '用于笔记本电脑', '5.55', 'Vega', '2017', '302 USD', '15 W'
'541', 'Quadro M600M', '用于移动工作站', '5.51', 'Maxwell', '2015', '103 USD', '30 W'
'542', 'Radeon R7 350', '桌面', '5.48', 'GCN 1.0', '2016', '142 USD', '55 W'
'543', 'Radeon RX Vega 11', '桌面', '5.46', 'Vega', '2017', '475 USD', '65 W'
'544', 'FirePro M5100', '用于移动工作站', '5.40', 'GCN', '2013', '105 USD', '−'
'545', 'Quadro P520', '用于移动工作站', '5.40', 'Pascal', '2019', '1670 USD', '18 W'
'546', 'Juniper', '桌面', '5.39', 'TeraScale 2', '−', '23 USD', '−'
'547', 'GeForce GTX 580M', '用于笔记本电脑', '5.33', 'Fermi', '2011', '170 USD', '100 W'
'548', 'GeForce 945M', '用于笔记本电脑', '5.30', 'Maxwell', '2015', '163 USD', '75 W'
'549', 'Quadro 5000M', '用于移动工作站', '5.29', 'Fermi', '2010', '3732 USD', '100 W'
'550', 'Iris Pro Graphics P580', '用于笔记本电脑', '5.19', 'Gen. 9 Skylake', '2015', '−', '15 W'
'551', 'GeForce GTX 460 SE', '桌面', '5.17', 'Fermi', '2010', '350 USD', '150 W'
'552', 'Radeon Pro W5500M', '用于工作站', '5.17', 'RDNA 1.0', '2020', '2381 USD', '85 W'
'553', 'Radeon HD 6990M', '用于笔记本电脑', '5.16', 'Terascale 2', '2011', '190 USD', '100 W'
'554', 'Radeon R9 M385X', '用于笔记本电脑', '5.12', 'GCN', '2015', '999 USD', '−'
'555', 'Radeon HD 5850', '桌面', '5.11', 'Terascale 2', '2009', '120 USD', '151 W'
'556', 'GeForce GTX 765M', '用于笔记本电脑', '5.09', 'Kepler', '2013', '93 USD', '60 W'
'557', 'Qualcomm Adreno 690', '用于笔记本电脑', '5.07', '2018', '−', '7 W', '_'
'558', 'Radeon HD 6850', '桌面', '5.07', 'TeraScale 2', '2010', '177 USD', '127 W'
'559', 'GeForce GTX 470M', '用于笔记本电脑', '5.02', 'Fermi', '2010', '78 USD', '75 W'
'560', 'GeForce GT 650M SLI', '用于笔记本电脑', '5.00', 'Kepler', '2012', '545 USD', '−'
'561', 'GeForce GTX 670MX', '用于笔记本电脑', '4.96', 'Kepler', '2012', '−', '75 W'
'562', 'Radeon Pro WX 4130', '用于移动工作站', '4.96', 'Polaris', '2017', '2000 USD', '50 W'
'563', 'GeForce GTX 460 v2', '桌面', '4.95', 'Fermi 2.0', '2011', '235 USD', '160 W'
'564', 'GeForce GTX 675M', '用于笔记本电脑', '4.95', 'Fermi', '2012', '218 USD', '100 W'
'565', 'Quadro 5000', '用于工作站', '4.94', 'Fermi', '2011', '991 USD', '152 W'
'566', 'Radeon RX 570X', '桌面', '4.94', 'GCN 4.0', '2018', '186 USD', '120 W'
'567', 'GeForce GTX 560 SE', '桌面', '4.92', 'Fermi 2.0', '2012', '703 USD', '150 W'
'568', 'GeForce GTX 460M SLI', '用于笔记本电脑', '4.87', 'Fermi', '2010', '149 USD', '−'
'569', 'Radeon RX 640', '用于笔记本电脑', '4.84', 'Polaris', '2019', '193 USD', '50 W'
'570', 'Tesla M2070', '用于工作站', '4.84', 'Fermi', '2011', '4064 USD', '225 W'
'571', 'Mobility Radeon HD 5870 Crossfire', '用于笔记本电脑', '4.83', 'Terascale 2', '2010', '56 USD', '120 W'
'572', 'GeForce GTX 570M', '用于笔记本电脑', '4.82', 'Fermi', '2011', '163 USD', '75 W'
'573', 'Quadro M520', '用于移动工作站', '4.81', 'Maxwell', '2017', '−', '25 W'
'574', 'Quadro K4000M', '用于移动工作站', '4.80', 'Kepler', '2012', '240 USD', '100 W'
'575', 'GeForce MX130', '用于笔记本电脑', '4.78', 'Maxwell', '2018', '899 USD', '15 W'
'576', 'Radeon R9 M385', '用于笔记本电脑', '4.76', 'GCN', '2015', '999 USD', '−'
'577', 'GeForce 945A', '桌面', '4.76', 'Maxwell', '2015', '−', '33 W'
'578', 'Iris Pro Graphics 580', '用于笔记本电脑', '4.73', 'Gen. 9 Skylake', '2015', '2427 USD', '15 W'
'579', 'UHD Graphics Xe 32EUs (Tiger Lake-H)', '用于笔记本电脑', '4.73', 'Gen. 12', '2021', '−', '−'
'580', 'GeForce MX230', '用于笔记本电脑', '4.71', 'Pascal', '2019', '1221 USD', '10 W'
'581', 'Radeon R9 M360', '桌面', '4.69', 'GCN 1.0', '2015', '1140 USD', '−'
'582', 'FirePro M6000', '用于移动工作站', '4.68', 'GCN', '2012', '162 USD', '43 W'
'583', 'Radeon PRO WX 2100', '用于移动工作站', '4.67', 'Polaris', '2018', '343 USD', '50 W'
'584', 'Radeon RX Vega 5', '用于笔记本电脑', '4.61', 'Vega', '2020', '287 USD', '15 W'
'585', 'Quadro 5010M', '用于移动工作站', '4.55', 'Fermi', '2011', '134 USD', '100 W'
'586', 'Radeon R9 M375X', '桌面', '4.55', 'GCN 1.0', '2015', '448 USD', '−'
'587', 'Iris Plus Graphics 650', '用于笔记本电脑', '4.52', 'Gen. 9.5 Kaby Lake', '2017', '949 USD', '15 W'
'588', 'GeForce GTX 650', '桌面', '4.51', 'Kepler', '2012', '207 USD', '65 W'
'589', 'GeForce GTX 670M', '用于笔记本电脑', '4.49', 'Fermi', '2012', '3 USD', '75 W'
'590', 'UHD Graphics Xe 750 32EUs', '用于笔记本电脑', '4.48', 'Gen. 12', '2021', '−', '−'
'591', 'Radeon RX Vega 8 (Ryzen 2000/3000)', '用于笔记本电脑', '4.46', 'Vega', '2017', '−', '15 W'
'592', 'UHD Graphics 750', '桌面', '4.45', 'Generation 12.1', '2021', '1454 USD', '15 W'
'593', 'Radeon HD 5830', '桌面', '4.45', 'TeraScale 2', '2010', '12 USD', '175 W'
'594', 'Radeon 550', '桌面', '4.43', 'GCN 4.0', '2017', '94 USD', '50 W'
'595', 'Radeon HD 5770', '桌面', '4.38', 'Terascale 2', '2009', '103 USD', '108 W'
