排名, 显示卡, 类型, 性能, 架构, 出厂年份, 现在的价格, TDP
'804', 'Radeon HD 5670', '桌面', '2.04', 'Terascale 2', '2010', '132 USD', '64 W'
'805', 'GeForce GT 740M', '用于笔记本电脑', '2.03', 'Kepler', '2013', '310 USD', '25 W'
'806', 'Radeon 520', '用于笔记本电脑', '2.02', 'GCN 1.0', '2017', '140 USD', '50 W'
'807', 'Quadro K1000M', '用于移动工作站', '2.02', 'Kepler', '2012', '232 USD', '45 W'
'808', 'GeForce 825M', '用于笔记本电脑', '2.01', 'Kepler', '2014', '160 USD', '33 W'
'809', 'Iris Graphics 6100', '用于笔记本电脑', '2.01', 'Gen. 8 Broadwell', '2015', '854 USD', '28 W'
'810', 'Quadro 2000M', '用于移动工作站', '2.00', 'Fermi', '2011', '135 USD', '55 W'
'811', 'Radeon R7 (Carrizo)', '用于笔记本电脑', '2.00', 'GCN 1.2/2.0', '2015', '999 USD', '12 W'
'812', 'GeForce GT 440', '桌面', '1.99', 'Fermi', '2011', '160 USD', '65 W'
'813', 'Radeon HD 7660G + HD 7670M Dual Graphics', '用于笔记本电脑', '1.98', 'Terascale 2', '2012', '90 USD', '−'
'814', 'GeForce 9800 GTX', '桌面', '1.98', 'Tesla', '2008', '151 USD', '140 W'
'815', 'Radeon HD 4810', '桌面', '1.98', 'TeraScale', '2009', '−', '95 W'
'816', 'Radeon R7 M365X', '桌面', '1.97', 'GCN 1.0', '2015', '−', '−'
'817', 'Radeon R7 M270', '用于笔记本电脑', '1.97', 'GCN', '2014', '−', '−'
'818', 'Quadro K420', '用于工作站', '1.96', 'Kepler', '2014', '402 USD', '41 W'
'819', 'GeForce 8800M GTX SLI', '用于笔记本电脑', '1.95', 'G9x', '2007', '149 USD', '130 W'
'820', 'Radeon R7 (Bristol Ridge)', '用于笔记本电脑', '1.94', 'GCN 1.2', '2016', '80 USD', '12 W'
'821', 'Radeon HD 6650M', '用于笔记本电脑', '1.94', 'Terascale 2', '2011', '53 USD', '−'
'822', 'GeForce 9800M GTS SLI', '用于笔记本电脑', '1.94', 'G9x', '2008', '149 USD', '150 W'
'823', 'GeForce 9800M GT SLI', '用于笔记本电脑', '1.93', 'G9x', '2008', '545 USD', '130 W'
'824', 'Quadro K600', '用于工作站', '1.93', 'Kepler', '2013', '220 USD', '41 W'
'825', 'Radeon HD 7730M', '用于笔记本电脑', '1.93', 'GCN', '2012', '338 USD', '32 W'
'826', 'Radeon HD 6850M', '用于笔记本电脑', '1.92', 'Terascale 2', '2011', '338 USD', '50 W'
